Id,FailureDescription,PlayerConditionId,OrderIndex,MapDifficultyId
"59","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","129"
"60","You must be at least level 58 to enter on Heroic Difficulty.","74364","0","130"
"61","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","131"
"62","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","133"
"63","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","134"
"64","You must be at least level 70 to enter on Heroic Difficulty.","74569","0","135"
"65","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","136"
"66","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","137"
"67","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","140"
"68","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","142"
"69","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","147"
"70","Heroic Difficulty requires you to be level 80.","74363","0","148"
"71","Heroic Difficulty requires the Sunforged Key[PH].","6728","0","149"
"72","Heroic Difficulty requires you to be level 80.","74363","0","150"
"73","Heroic Difficulty requires you to be level 80.","74363","0","151"
"74","Heroic Difficulty requires you to be level 80.","74363","0","153"
"76","Heroic Difficulty requires you to be level 80.","74363","0","155"
"77","Heroic Difficulty requires you to be level 80.","74363","0","156"
"78","You must be at least level 80 to enter.","7500","0","157"
"79","You must be at least level 80 and in a raid group to enter.","7500","0","158"
"80","","4868","0","14"
"81","You must be at least level 25 to enter.","74357","0","15"
"82","You must be at least level 45 to enter.","74506","0","19"
"83","You must be at least level 20 to enter.","20290","0","22"
"84","","5793","0","29"
"85","You must be at least level 50 to enter.","74367","0","34"
"86","You must be level 50 to enter.","74367","0","39"
"87","You must be at least level 60 to enter.","7383","0","41"
"88","You must be at least level 50 to enter.","74367","0","44"
"89","You must be at least level 80 to enter.","7500","0","46"
"90","You must be at least level 70 to enter.","6379","0","47"
"91","You must be at least level 65 to enter.","5960","0","48"
"92","You must be at least level 70 to enter.","6379","0","55"
"93","You must be level 70 and in a raid group to enter.","6379","0","56"
"95","You must be at least level 70 to enter.","6379","0","68"
"96","Zul'Aman is only available as a Heroic dungeon.","5793","0","70"
"97","You must be at least level 57 to enter.","9915","0","74"
"98","You must be at least level 65 to enter.","5953","0","75"
"99","You must be at least level 58 to enter.","74364","0","76"
"100","You must be at least level 65 to enter.","5953","0","77"
"101","You must be level 70 to enter.","6379","0","78"
"103","You must be at least level 63 to enter.","9918","0","100"
"104","You must be at least level 62 to enter.","9917","0","104"
"105","You must be at least level 80 to enter.","7500","0","110"
"106","You must be at least level 65 to enter.","5953","0","125"
"107","You must be at least level 80 to enter.","7500","0","128"
"108","You must be at least level 33 to enter.","9910","0","28"
"109","You must be at least level 80 and in a raid group to enter.","7500","0","111"
"110","Heroic Difficulty requires you to be level 85.","10174","0","821"
"111","You must be at least level 70 to enter.","6379","0","51"
"112","You must be at least level 68 to enter.","5977","0","45"
"113","You must be at least level 11 to enter.","9907","0","7"
"114","You must be at least level 12 to enter.","54588","0","13"
"115","You must be at least level 15 to enter.","74354","0","16"
"116","You must be at least level 70 to enter on Heroic Difficulty.","6379","0","127"
"117","You must be at least level 70 to enter.","6379","0","341"
