Id,EffectDescription,AuraDescription,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
"1","Inflicts $s@effectindex Physical damage to an enemy.","","2","0","1","3","1","1","0"
"2","Inflicts $s@effectindex Holy damage to an enemy.","","2","0","1","3","2","1","0"
"3","Inflicts $s@effectindex Fire damage to an enemy.","","2","0","1","3","4","1","0"
"4","Inflicts $s@effectindex Nature damage to an enemy.","","2","0","1","3","8","1","0"
"5","Inflicts $s@effectindex Frost damage to an enemy.","","2","0","1","3","16","1","0"
"6","Inflicts $s@effectindex Shadow damage to an enemy.","","2","0","1","3","32","1","0"
"7","Inflicts $s@effectindex Arcane damage to an enemy.","","2","0","1","3","64","1","0"
"8","Inflicts $s@effectindex Chaos damage to an enemy.","","2","0","1","3","127","1","0"
"9","Inflicts $s@effectindex Physical damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","1","1","0"
"10","Inflicts $s@effectindex Holy damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","2","1","0"
"11","Inflicts $s@effectindex Fire damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","4","1","0"
"12","Inflicts $s@effectindex Nature damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","8","1","0"
"13","Inflicts $s@effectindex Frost damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","16","1","0"
"14","Inflicts $s@effectindex Shadow damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","32","1","0"
"15","Inflicts $s@effectindex Arcane damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","64","1","0"
"16","Inflicts $s@effectindex Chaos damage to enemies within $A@effectindex yards of the impact.","","2","0","1","5","127","1","0"
"17","Inflicts $s@effectindex Physical damage to enemies within $A@effectindex yards.","","2","0","1","7","1","1","0"
"18","Inflicts $s@effectindex Holy damage to enemies within $A@effectindex yards.","","2","0","1","7","2","1","0"
"19","Inflicts $s@effectindex Fire damage to enemies within $A@effectindex yards.","","2","0","1","7","4","1","0"
"20","Inflicts $s@effectindex Nature damage to enemies within $A@effectindex yards.","","2","0","1","7","8","1","0"
"21","Inflicts $s@effectindex Frost damage to enemies within $A@effectindex yards.","","2","0","1","7","16","1","0"
"22","Inflicts $s@effectindex Shadow damage to enemies within $A@effectindex yards.","","2","0","1","7","32","1","0"
"23","Inflicts $s@effectindex Arcane damage to enemies within $A@effectindex yards.","","2","0","1","7","64","1","0"
"24","Inflicts $s@effectindex Chaos damage to enemies within $A@effectindex yards.","","2","0","1","7","127","1","0"
"25","Inflicts $s@effectindex Physical damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Physical damage inflicted every $t@effectindex sec.","6","3","1","3","1","10","0"
