Id,RaceMask,Name,Description,Flags,ClassMask,SpellIconFileId
"1","12261800583900083122","Teleport","Teleports you to a major city.","0","128","237509"
"8","6130900294268439629","Teleport","Teleports you to a major city.","0","128","237509"
"9","18446744073709551615","Call Pet","Call an active Pet to your side.","0","4","132161"
"10","18446744073709551615","Summon Demon","Summons one of your demons to you.","0","256","136082"
"11","12261800583900083122","Portal","Creates a portal, teleporting group members who use it to a major city.","0","128","135744"
"12","6130900294268439629","Portal","Creates a portal, teleporting group members who use it to a major city.","0","128","135748"
"66","18446744073709551615","Poisons","Apply potent venom to your weapons.","0","8","136242"
"67","18446744073709551615","Grimoire of Service","Instantly summon a second demon, who fights for 25 sec.","0","256","538444"
"84","18446744073709551615","Challenger's Path","Teleport to the entrance of a Mists of Pandaria dungeon for which you have earned a Gold medal. The cooldown of these spells will reset when you complete any challenge mode.","0","-1","519384"
"92","18446744073709551615","Polymorph Variants","Alternate cosmetic variants of Polymorph, which transform your target into a variety of creatures.","0","128","575586"
"93","18446744073709551615","Exotic Munitions","Modify your ranged weapon to use exotic munitions.","0","4","249177"
"96","18446744073709551615","Warlord's Path","Teleport to the entrance of a Warlords of Draenor dungeon for which you have earned a Gold medal. The cooldown of these spells will reset when you complete any challenge mode.","0","-1","519384"
"103","18446744073709551615","Pet Utility","A variety of tools to help you manage your pet.","0","4","132179"
"106","18446744073709551615","Hex Variants","Alternate cosmetic variants of Hex, which transform your target into a variety of creatures.","0","64","538518"
"217","18446744073709551615","Kyrian Instruments","Play an instrument of the Kyrian.","0","0","454048"
"220","18446744073709551615","Hero's Path: Shadowlands","Teleport to the entrance of a Shadowlands Dungeon for which you have earned the Keystone Hero achievement. The cooldown of these spells will reset when you complete a Mythic Keystone Dungeon.","0","-1","519384"
