Id,Name,ParentUiMapId,Flags,System,Type,LevelRangeMin,LevelRangeMax,BountySetId,BountyDisplayLocation,VisibilityPlayerConditionId,HelpTextPosition,BkgAtlasId
"1","Durotar","12","6","0","3","0","0","0","0","0","0","70"
"2","Burning Blade Coven","1","0","0","5","0","0","0","0","0","0","0"
"3","Tiragarde Keep","1","0","0","5","0","0","0","0","0","0","0"
"4","Tiragarde Keep","1","0","0","5","0","0","0","0","0","0","0"
"5","Skull Rock","1","0","0","5","0","0","0","0","0","0","0"
"6","Dustwind Cave","1","0","0","5","0","0","0","0","0","0","0"
"7","Mulgore","12","6","0","3","0","0","0","0","0","0","71"
"8","Palemane Rock","7","0","0","5","0","0","0","0","0","0","0"
"9","The Venture Co. Mine","7","0","0","5","0","0","0","0","0","0","0"
"10","Northern Barrens","12","6","0","3","0","0","0","0","0","0","3"
"11","Wailing Caverns","10","0","0","5","0","0","0","0","0","0","0"
"12","Kalimdor","947","0","0","2","0","0","0","0","0","0","0"
"13","Eastern Kingdoms","947","0","0","2","0","0","0","0","0","0","0"
"14","Arathi Highlands","13","6","0","3","10","1","0","89601","0","0","17"
"15","Badlands","13","6","0","3","0","0","0","0","0","0","27"
"16","Uldaman","15","0","0","5","0","0","0","0","0","0","0"
"17","Blasted Lands","13","6","0","3","0","0","0","0","0","0","34"
"18","Tirisfal Glades","13","6","0","3","0","0","0","0","0","0","75"
"19","Scarlet Monastery Entrance","18","0","0","5","0","0","0","0","0","0","0"
"20","Keeper's Rest","18","0","0","5","0","0","0","0","0","0","0"
"21","Silverpine Forest","13","6","0","3","0","0","0","0","0","0","7"
"22","Western Plaguelands","13","6","0","3","0","0","0","0","0","0","25"
"23","Eastern Plaguelands","13","6","0","3","0","0","0","0","0","0","35"
"24","Light's Hope Chapel","23","0","0","5","0","0","0","0","0","0","0"
"25","Hillsbrad Foothills","13","6","0","3","0","0","0","0","0","0","11"
"26","The Hinterlands","13","6","0","3","0","0","0","0","0","0","20"
"27","Dun Morogh","13","6","0","3","0","0","0","0","0","0","74"
"28","Coldridge Pass","27","0","0","5","0","0","0","0","0","0","0"
"29","The Grizzled Den","27","0","0","5","0","0","0","0","0","0","0"
"30","New Tinkertown","27","0","0","5","0","0","0","0","0","0","0"
"31","Gol'Bolar Quarry","27","0","0","5","0","0","0","0","0","0","0"
"32","Searing Gorge","13","6","0","3","0","0","0","0","0","0","29"
"33","Blackrock Mountain","36","0","0","5","0","0","0","0","0","0","0"
"34","Blackrock Mountain","36","0","0","5","0","0","0","0","0","0","0"
"35","Blackrock Mountain","32","0","0","5","0","0","0","0","0","0","0"
"36","Burning Steppes","13","6","0","3","0","0","0","0","0","0","30"
"37","Elwynn Forest","13","6","0","3","0","0","0","0","0","0","73"
"38","Fargodeep Mine","37","0","0","5","0","0","0","0","0","0","0"
"39","Fargodeep Mine","37","0","0","5","0","0","0","0","0","0","0"
