Id,Description,FactionId,TextureFileId
"876","Farmer Fung considers you a %s. Farmer Fung likes Marsh Lilies and Wildfowl Roast.","872","0"
"860","Chee Chee considers you a %s. Chee Chee likes Blue Feathers and Valley Stir Fry.","856","0"
"844","Ella considers you a %s. Ella likes Jade Cats and Shrimp Dumplings.","840","0"
"828","Fish Fellreed considers you a %s. Fish likes Jade Cats and Twin Fish Platters.","824","0"
"812","Gina Mudclaw considers you a %s. Gina likes Marsh Lilies and Swirling Mist Soup.","808","0"
"796","Haohan Mudclaw considers you a %s. Haohan likes Ruby Shards and Charbroiled Tiger Steak.","792","0"
"780","Jogu the Drunk considers you a %s. Jogu likes Lovely Apples and Sauteed Carrots.","776","0"
"764","Old Hillpaw considers you a %s. Old Hillpaw likes Blue Feathers and Braised Turtle.","760","0"
"748","Sho considers you a %s. Sho likes Lovely Apples and Eternal Blossom Fish.","744","0"
"732","Tina Mudclaw considers you a %s. Tina likes Ruby Shards and Fire Spirit Salmon.","728","0"
"716","Nomi is a very bright %s Cook. With each lesson you give him, he becomes increasingly skilled!","712","0"
"700","Nat considers you a %s.  Nat likes to drink.  Maybe if you find him some more rare fish, he'll share!","696","0"
"684","You are currently %s in the Brawl'gar Arena.","680","0"
"668","You are currently %s in Bizmo's Brawlpub.","664","0"
"652","The Darkspear Rebellion is %s.","648","0"
"636","Tormmok is currently your %s.","632","0"
"620","Defender Illona is currently your %s.","616","0"
"604","Aeda Brightdawn is currently your %s.","600","0"
"588","Delvar Ironfist is currently your %s.","584","0"
"572","Vivianne is currently your %s.","568","0"
"556","Talonpriest Ishaal is currently your %s.","552","0"
"540","Leorajh is currently your %s.","536","0"
"524","%s","520","0"
"508","%s","504","0"
"492","First Arcanist Thalyssra is %s.

The nightborne have an insatiable thirst for |cFF66BBFFAncient Mana|r, which can be found all over Suramar.","488","0"
"476","Silgryn is %s.

The Nightfallen have an unquenchable thirst for |cFF66BBFFAncient Mana|r. There are many natural sources in Suramar, though none as potent as the Nightwell.","472","0"
"460","Chief Telemancer Oculeth is %s.

The nightborne have an insatiable thirst for |cFF66BBFFAncient Mana|r, which can be found all over Suramar.","456","0"
"444","7.0 Champions Test - Chen Stormstout - Uses Test Faction (949)","440","0"
"428","Arcanist Valtrois is %s.

The nightborne have an insatiable thirst for |cFF66BBFFAncient Mana|r, which can be found all over Suramar.","424","0"
"412","Conjurer Margoss considers you a %s.  He was not a fan of the magical arts.  Fishing is his true passion!","408","0"
"396","Olissara and Angelique consider you |5%s. They want to help out where they can by providing the necessary medical suppliles to those in need.","392","0"
"380","Arne Test - is currently your %s.","376","0"
"364","Illysia of the Waters considers you a %s. Fish with her in Azsuna.","360","0"
"348","Akule considers you a %s. Fish with him in Highmountain.","344","0"
"332","Impus considers you a %s. Fish with him in the Broken Shore.","328","0"
"316","Keeper Raynae considers you a %s. Fish with her in Val'sharah.","312","0"
"300","Sha'leth considers you a %s. Fish with her in Suramar.","296","0"
"284","Corbyn regards you as a %s. Fish with him in Stormheim.","280","0"
"268","Chromie considers you |5 %s.","264","0"
"252","%s","248","0"
"236","%s","232","0"
"220","Pterrodax has grown into a %s.","216","0"
"204","Direhorn has grown into a %s.","200","0"
"2966","Hunter Akana  is %s.","3008","0"
"3045","Farseer Ori  is %s.","3086","0"
"3127","Bladesman Inowari is %s.","3174","0"
"3218","Neri Sharpfin  is %s.","3261","0"
"3302","Poen Gillbrack  is %s.","3346","0"
"3387","Vim Brineheart is %s.","3431","0"
"92","A %s Honeyback Harvester.","88","0"
"76","A %s Honeyback Drone.","72","0"
"60","A %s Honeyback Hivemother.","56","0"
"44","%s","40","0"
"28","%s","24","0"
"12","Aqir Hatchling has grown into a %s.","8","0"
