Id,Name,Description,GarrTalentTreeId,Tier,UiOrder,IconFileDataId,PlayerConditionId,GarrAbilityId,Field_8_3_0_32044_009,Field_8_3_0_32044_010,PrerequisiteTalentId,ResearchCostSource
"39","Bloodlust","Enables the Bloodlust ability, which increases the success chance of the first mission you send each day by ${$a701}%.","31","0","1","136012","41962","578","0","0","0","0"
"40","Reincarnation","Enables the Reincarnation ability for all missions, granting a ${$a772}% chance on mission success to recover an expired Troop with $m772 Vitality.","31","1","1","451167","41955","646","0","0","0","0"
"41","Ancestral Gift","Enables a chance on mission success for your Champions to return with Champion armaments or equipment.","31","2","1","237574","41958","788","0","0","0","0"
"42","Ancestral Legends","Increase the number of Legendary items you can equip by ${$a898}.","31","5","0","237571","41961","0","0","0","0","0"
"43","Elemental Knowledge","Newly recruited Lesser Elementals become Greater Elementals, increasing their chance of mission success by ${$a638-$a637}%.","31","3","0","893777","41959","0","0","0","0","0"
"44","Whispers of the Earth","Newly recruited Circles of Earthcallers become Earthen Ring Geomancers, which gain:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |CffffffffMagma Storm|R
$@garrabdesc583","31","3","1","451165","41959","0","0","0","0","0"
"46","Rise!","Allows you to recruit Ascendants.

Ascendants increase success chance by ${$a650}% on missions with either |C00b3ffffHazards|R, |C00b3ffffSpells|R or |C00b3ffffMinions|R, chosen at random, in addition to:

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |CffffffffAscendant's Fury|R
$@garrabdesc531","31","4","1","132148","41960","0","0","0","0","0"
"49","Spirit Walk","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","31","4","0","636335","41960","0","0","0","0","0"
"52","Training Grounds","Increases the maximum number of Lesser and Greater Elementals, Earthcallers and Geomancers you can recruit by ${$a702}.","31","2","0","135776","41958","579","0","0","0","0"
"53","Elemental Binding","Grants access to the Lords of Fire, Earth, Wind and Water.  Each day a random Lord will appear in your Order Hall who can provide you with a powerful combat bonus.","31","1","0","135988","41955","0","0","0","0","0"
