Id,FullName,ShortName,GroupFinderCategoryId,OrderIndex,GroupFinderActivityGrpId,MinLevel,MaxLevelSuggestion,Flags,MinGearLevelSuggestion,MapId,DifficultyId,AreaId,MaxPlayers,DisplayType
"2","Teldrassil","Teldrassil","1","0","3","0","10","258","0","1","0","141","0","4"
"3","Westfall","Westfall","1","0","2","10","15","258","0","0","0","40","0","4"
"4","Siege of Orgrimmar (Normal)","Normal","3","0","1","0","90","35","0","1136","14","0","30","0"
"6","Arena (2v2)","2v2","4","0","0","120","0","36","0","0","0","0","2","2"
"7","Arena (3v3)","3v3","4","1","0","120","0","36","0","0","0","0","3","2"
"9","Molten Core","Molten Core","3","-1","0","60","60","34","0","409","9","0","40","0"
"14","Arena Skirmish (2v2)","2v2","7","0","0","90","99","36","0","0","0","0","2","2"
"15","Battlegrounds","Battlegrounds","8","0","0","10","19","36","0","0","0","0","5","1"
"16","Custom PvE","Custom","6","0","0","0","0","34","0","0","0","0","0","0"
"17","Custom PvP","Custom PvP","6","0","0","0","0","36","0","0","0","0","0","0"
"18","Deadmines (Normal)","Normal","2","0","5","15","21","98","0","36","1","0","5","1"
"19","Rated Battlegrounds","Rated Battlegrounds","9","0","0","120","0","36","0","0","0","0","0","0"
"20","Random Pandaria Scenario (Normal)","Normal","5","0","107","90","90","34","0","870","12","0","3","1"
"21","Bloodmaul Slag Mines (Normal)","Normal","2","1","6","90","93","99","0","1175","1","0","5","1"
"22","Iron Docks (Normal)","Normal","2","1","7","92","95","99","0","1195","1","0","5","1"
"23","Auchindoun (Normal)","Normal","2","1","8","94","97","99","0","1182","1","0","5","1"
"24","Skyreach (Normal)","Normal","2","1","9","97","100","99","0","1209","1","0","5","1"
"25","Grimrail Depot (Normal)","Normal","2","1","10","100","100","99","0","1208","1","0","5","1"
"26","The Everbloom (Normal)","Normal","2","1","11","100","100","99","0","1279","1","0","5","1"
"27","Shadowmoon Burial Grounds (Normal)","Normal","2","1","12","100","100","99","0","1176","1","0","5","1"
"28","Upper Blackrock Spire (Normal)","Normal","2","1","13","100","100","99","0","1358","1","0","5","1"
"29","Bloodmaul Slag Mines (Heroic)","Heroic","2","2","6","100","100","99","0","1175","2","0","5","1"
"30","Iron Docks (Heroic)","Heroic","2","2","7","100","100","99","0","1195","2","0","5","1"
"31","Auchindoun (Heroic)","Heroic","2","2","8","100","100","99","0","1182","2","0","5","1"
"32","Skyreach (Heroic)","Heroic","2","2","9","100","100","99","0","1209","2","0","5","1"
"33","Grimrail Depot (Heroic)","Heroic","2","2","10","100","100","99","0","1208","2","0","5","1"
"34","The Everbloom (Heroic)","Heroic","2","2","11","100","100","99","0","1279","2","0","5","1"
"35","Shadowmoon Burial Grounds (Heroic)","Heroic","2","2","12","100","100","99","0","1176","2","0","5","1"
"36","Upper Blackrock Spire (Heroic)","Heroic","2","2","13","100","100","99","0","1358","2","0","5","1"
"37","Highmaul (Normal)","Normal","3","0","14","100","100","35","0","1228","14","0","30","0"
"38","Highmaul (Heroic)","Heroic","3","0","14","100","100","35","0","1228","15","0","30","0"
"39","Blackrock Foundry (Normal)","Normal","3","0","15","100","100","35","0","1205","14","0","30","0"
"40","Blackrock Foundry (Heroic)","Heroic","3","0","15","100","100","35","0","1205","15","0","30","0"
"41","Siege of Orgrimmar (Heroic)","Heroic","3","0","1","0","90","35","0","1136","15","0","30","0"
"42","Siege of Orgrimmar (Mythic)","Mythic","3","0","1","0","90","35","0","1136","16","0","20","0"
"43","Naxxramas (10 Player)","10 Player","3","0","16","80","80","35","0","533","3","0","10","0"
"44","Naxxramas (25 Player)","25 Player","3","0","16","80","80","35","0","533","4","0","25","0"
"45","Karazhan","Karazhan","3","0","0","70","70","35","0","532","3","0","10","0"
"46","Icecrown Citadel (10 Normal)","10 Normal","3","0","17","80","80","35","0","631","3","0","10","0"
"47","Icecrown Citadel (10 Heroic)","10 Heroic","3","0","17","80","80","35","0","631","5","0","10","0"
"48","Icecrown Citadel (25 Normal)","25 Normal","3","0","17","80","80","35","0","631","4","0","25","0"
"49","Icecrown Citadel (25 Heroic)","25 Heroic","3","0","17","80","80","35","0","631","6","0","25","0"
"50","Wailing Caverns (Normal)","Wailing Caverns","2","0","0","15","25","98","0","43","1","0","5","1"
"51","Scholomance (Normal)","Normal","2","0","18","38","48","98","0","1007","1","0","5","1"
"52","Ragefire Chasm (Normal)","Ragefire Chasm","2","0","0","15","21","98","0","389","1","0","5","1"
"53","Shadowfang Keep (Normal)","Normal","2","0","19","16","26","98","0","33","1","0","5","1"
"54","Blackfathom Deeps (Normal)","Blackfathom Deeps","2","0","0","20","30","98","0","48","1","0","5","1"
"55","Stormwind Stockade (Normal)","Stormwind Stockade","2","0","0","20","30","98","0","34","1","0","5","1"
"56","Gnomeregan (Normal)","Gnomeregan","2","0","0","24","34","98","0","90","1","0","5","1"
"57","Razorfen Kraul (Normal)","Razorfen Kraul","2","0","0","30","40","98","0","47","1","0","5","1"
"58","Razorfen Downs (Normal)","Razorfen Downs","2","0","0","40","50","98","0","129","1","0","5","1"
"59","Uldaman (Normal)","Uldaman","2","0","0","35","45","98","0","70","1","0","5","1"
