Id,Name,IconLocation0,IconLocation1,WorldStateId,UiTextureAtlasMemberId,ScenarioId,WorldQuestId,WorldStateValue,InvasionEnabledWorldStateId,AreaTableId
"3","Legion Invasion: Northern Barrens","0.535","0.52","11325","5006","907","43282","1","10063","17"
"4","Legion Invasion: Westfall","0.415","0.8","11331","5006","897","43245","1","10063","40"
"5","Legion Invasion: Tanaris","0.555","0.85","11333","5006","806","43244","1","10063","440"
"6","Legion Invasion: Dun Morogh","0.455","0.615","11326","5006","959","43284","1","10063","1"
"7","Legion Invasion: Hillsbrad","0.465","0.42","11330","5006","916","43285","1","10063","267"
"8","Legion Invasion: Azshara","0.61","0.39","11327","5006","958","43301","1","10063","16"
"10","Invasion Point: Aurinor","0.415","0.8","14061","5006","1391","48982","1","14328","9100"
"11","Invasion Point: Val","0.415","0.8","14062","5006","1406","49091","1","14328","9127"
"12","Invasion Point: Naigtal","0.415","0.8","14060","5006","1411","49096","1","14328","9102"
"13","Invasion Point: Sangua","0.415","0.8","14065","5006","1394","49097","1","14328","9128"
"14","Invasion Point: Cen'gar","0.415","0.8","14064","5006","1404","49098","1","14328","9126"
"15","Invasion Point: Bonich","0.415","0.8","14063","5006","1409","49099","1","14328","9180"
"16","Greater Invasion Point: Matron Folnuna","0.415","0.8","14252","5006","1412","49199","1","14328","9295"
"17","Greater Invasion Point: Sotanathor","0.415","0.8","14253","5006","1418","49197","1","14328","9299"
"18","Greater Invasion Point: Inquisitor Meto","0.415","0.8","14248","5006","1420","49198","1","14328","9297"
"19","Greater Invasion Point: Mistress Alluradel","0.415","0.8","14251","5006","1422","48620","1","14328","9300"
"20","Greater Invasion Point: Occularus","0.415","0.8","14250","5006","1419","49195","1","14328","9298"
"21","Greater Invasion Point: Pit Lord Vilemus","0.415","0.8","14249","5006","1421","49196","1","14328","9296"
"22","Invasion Point: Cen'gar","0.415","0.8","14243","5006","1404","49098","1","14328","9126"
"23","Invasion Point: Aurinor","0.415","0.8","14246","5006","1391","48982","1","14328","9100"
"24","Invasion Point: Val","0.415","0.8","14245","5006","1406","49091","1","14328","9127"
"25","Invasion Point: Naigtal","0.415","0.8","14247","5006","1411","49096","1","14328","9102"
"26","Invasion Point: Sangua","0.415","0.8","14242","5006","1394","49097","1","14328","9128"
"27","Invasion Point: Bonich","0.415","0.8","14244","5006","1409","49099","1","14328","9180"
